_id,CODE,DESCRIPTION
1,EXAC,HVAC
2,EXADD,PANTO AUTOMATIC DROPDOWN
3,EXATC,S&TCS CARBORNE EQUIPMENT
4,EXBK,BRAKES
5,EXBO,BODY
6,EXCB,COUPLER BARRIER
7,EXCE,COMMUNICATION EQUIPMENT (INCLUDES STOP ANNOUNCEMENT)
8,EXCO,COUPLERS
9,EXDB,DISC BRAKES
10,EXDO,DOOR PROBLEMS (FAULTY EQUIPMENT)
11,EXECD,ECD/LINE MECHANIC RELATED
12,EXGA,GIDS ACTIVATION
13,EXGF,GIDS FAILURE
14,EXHV,HIGH VOLTAGE
15,EXLT,LIGHTING SYSTEMS
16,EXNEA,NO EQUIPMENT AVAILABLE
17,EXNT,EQUIPMENT – NO TROUBLE FOUND
18,EXO,EQUIPMENT - OTHER
19,EXOE,"MAINTENANCE VEHICLE OPERATOR ERROR (SIGNAL VIOLATION, ETC.)"
20,EXOSC,EQUIPMENT OSCILLATION
21,EXPD,MAINTAINER COLLISION - PROPERTY DAMAGE
22,EXPI,MAINTAINER COLLISION - PERSONAL INJURY
23,EXSA,SANDERS
24,EXSE,SECURITY EQUIPMENT (CAMERAS)
25,EXTB,TRACK BRAKES
26,EXTM,TRACTION MOTORS
27,EXTR,TRUCKS
28,EXVC,VEHICLE CONTROLS
29,EXVE,WORK VEHICLE
30,EXVE,VEHICLE (SOURCE OF PROBLEM NOT KNOWN)
31,EXWA,WARNING / ALARM SYSTEM / PASSENGER SECURITY SYSTEM / CCTV
32,EXWM,WAYSIDE MONITOR FAILURE
33,EXWS,WINDSHIELD / WIPERS
34,EXYRD,YARD-/CARHOUSE-RELATED PROBLEMS
35,MXAFR,AUTO FOUL RAIL
36,MXCL,DIVISIONAL CLERK RELATED
37,MXCSA,NO CSA AVAILABLE – ESA RELATED
38,MXD,DOOR PROBLEMS – PASSENGER RELATED
39,MXDD,DOOR PROBLEMS – DEBRIS RELATED
40,MXESA,NO OPERATOR AVAILABLE – E.S.A. RELATED
41,MXFM,“FORCE MAJEURE” – DELAY OVER 90 MIN. (WEATHER OR MAJOR EVENT)
42,MXFS,FIRE/SMOKE PLAN B – SOURCE EXTERNAL TO THE LRT
43,MXGD,MISCELLANEOUS GENERAL LINE DELAYS
44,MXI,INJURED/ILL CUSTOMER ON TRAIN – TRANSPORTED
45,MXIC,INJURED MAINTAINER EMPLOYEE
46,MXIE,INJURED TTC EMPLOYEE
47,MXIR,INJURED/ILL CUSTOMER ON TRAIN – MEDICAL AID REFUSED
48,MXIRS,INJURED/ILL CUSTOMER IN STATION/STOP – MEDICAL AID REFUSED
49,MXIS,INJURED/ILL CUSTOMER IN STATION/STOP – TRANSPORTED
